Channel,Event_Name,Site_ID,Sub_Site_ID,Region,Country_Code,Language,Platform,App_Version,SDK_Version,App_ID,Attribution_Lookback,Device_Category
Lime,af_level5_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level5_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,auto_play,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level5_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level5_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level10_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level8_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,auto_play,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_level5_achieved,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Lime,af_complete_registration,261,Lime,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Indigo,install,261,Indigo,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Indigo,install,261,Indigo,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Indigo,af_complete_registration,261,Indigo,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Pink,install,261,Pink,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Amber,install,261,Amber,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Amber,install,261,Amber,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Amber,install,261,Amber,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Amber,install,261,Amber,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Amber,install,261,Amber,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Orange,install,261,Orange,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Orange,install,261,Orange,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Orange,install,261,Orange,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Orange,install,261,Orange,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Orange,install,261,Orange,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Blue,install,261,Blue,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
Olive,install,261,Olive,AS,KR,ko-KR,ios,694,1,id1483577009,7d,phone
